Cyrillic; Latin
^я;ja
^ё;jo
^ю;ju
кья;q'ʲa
к1я;k'ʲa
гъв;ʁʷ
кьв;q'ʷ
хьв;xʷ
къв;ɢʷ
джв;ǯʷ
ч1в;č'ʷ
к1в;k'ʷ
яя;ʲaː
кя;kʲa
гя;gʲa
ня;nʲa
тя;tʲa
ся;sʲa
ля;lʲa
шя;šʲa
кв;kʷ
гв;gʷ
хв;χʷ
чв;čʷ
п1;p'
т1;t'
ц1;c'
кь;q'
к1;k'
ч1;č'
а1;aˤ
у1;uˤ
о1;oˤ
ы1;ɨˤ
гь;h
гъ;ʁ
г1;ɣ
дж;ǯ
хь;x
хъ;q
къ;ɢ
аь;ä
уь;ü
ё;ö
ю;ü
а;a
б;b
в;w
г;g
д;d
е;e
ж;ž
з;z
и;i
й;j
о;o
п;p
р;r
с;s
т;t
у;u
ф;f
х;χ
ц;c
к;k
л;l
м;m
н;n
ч;č
ш;š
ъ;ʔ
ы;ɨ
э;e
